X,Y,Z
573066.77,1465530.5,1627.94495
573058.13,1465530.5,1627.94495
573049.49,1465530.5,1627.94495
573040.85,1465530.5,1573.19299
573032.21,1465530.5,1573.19299
573023.57,1465530.5,1573.19299
573014.93,1465530.5,1573.19299
573006.29,1465530.5,1573.19299
572997.65,1465530.5,1573.19299
572989.01,1465530.5,1573.19299
572980.38,1465530.5,1573.19299
572971.73,1465530.5,1573.19299
572963.09,1465530.5,1573.19299
572954.46,1465530.5,1573.19299
572945.82,1465530.5,1520.94397
572937.18,1465530.5,1520.94397
572928.54,1465530.5,1520.94397
572919.9,1465530.5,1520.94397
572911.26,1465530.5,1520.94397
572902.62,1465530.5,1520.94397
572893.98,1465530.5,1520.94397
572885.34,1465530.5,1520.94397
572876.7,1465530.5,1520.94397
572868.06,1465530.5,1520.94397
572859.42,1465530.5,1467.89294
572850.78,1465530.5,1467.89294
572842.14,1465530.5,1467.89294
572833.5,1465530.5,1467.89294
572824.86,1465530.5,1467.89294
572816.22,1465530.5,1467.89294
572807.58,1465530.5,1467.89294
572798.94,1465530.5,1467.89294
572790.3,1465530.5,1467.89294
572781.66,1465530.5,1467.89294
572773.02,1465530.5,1467.89294
572764.38,1465530.5,1415.98596
572755.74,1465530.5,1415.98596
572747.1,1465530.5,1415.98596
572738.46,1465530.5,1415.98596
572729.82,1465530.5,1415.98596
572721.19,1465530.5,1415.98596
572712.55,1465530.5,1415.98596
572703.91,1465530.5,1415.98596
572695.27,1465530.5,1415.98596
572686.63,1465530.5,1415.98596
572677.99,1465530.5,1369.11401
572669.35,1465530.5,1369.11401
572660.71,1465530.5,1369.11401
572652.07,1465530.5,1369.11401
572643.43,1465530.5,1369.11401
572634.79,1465530.5,1369.11401
572626.15,1465530.5,1369.11401
572617.51,1465530.5,1369.11401
572608.87,1465530.5,1369.11401
572600.23,1465530.5,1369.11401
572591.59,1465530.5,1369.11401
572582.95,1465530.5,1326.20300
572574.31,1465530.5,1326.20300
572565.67,1465530.5,1326.20300
572557.03,1465530.5,1326.20300
572548.39,1465530.5,1326.20300
572539.75,1465530.5,1326.20300
572531.11,1465530.5,1326.20300
572522.47,1465530.5,1326.20300
572513.83,1465530.5,1326.20300
572505.19,1465530.5,1326.20300
572496.55,1465530.5,1280.57996
572487.91,1465530.5,1280.57996
572479.27,1465530.5,1280.57996
572470.63,1465530.5,1280.57996
572461.99,1465530.5,1280.57996
572453.35,1465530.5,1280.57996
572444.71,1465530.5,1280.57996
572436.07,1465530.5,1280.57996
572427.44,1465530.5,1280.57996
572418.8,1465530.5,1280.57996
572410.16,1465530.5,1280.57996
572401.52,1465530.5,1228.07202
572392.88,1465530.5,1228.07202
572384.24,1465530.5,1228.07202
572375.6,1465530.5,1228.07202
572366.96,1465530.5,1228.07202
572358.32,1465530.5,1228.07202
572349.68,1465530.5,1228.07202
572341.04,1465530.5,1228.07202
572332.4,1465530.5,1228.07202
572323.76,1465530.5,1228.07202
572315.12,1465530.5,1177.88696
572306.48,1465530.5,1177.88696
572297.84,1465530.5,1177.88696
572289.2,1465530.5,1177.88696
572280.56,1465530.5,1177.88696
572271.92,1465530.5,1177.88696
572263.28,1465530.5,1177.88696
572254.64,1465530.5,1177.88696
572246,1465530.5,1177.88696
572237.36,1465530.5,1177.88696
572228.72,1465530.5,1177.88696
572220.08,1465530.5,1133.92297
572211.44,1465530.5,1133.92297
572202.81,1465530.5,1133.92297
572194.17,1465530.5,1133.92297
572185.53,1465530.5,1133.92297
572176.89,1465530.5,1133.92297
572168.25,1465530.5,1133.92297
572159.61,1465530.5,1133.92297
572150.97,1465530.5,1133.92297
572142.33,1465530.5,1133.92297
572133.69,1465530.5,1092.42102
572125.05,1465530.5,1092.42102
572116.41,1465530.5,1092.42102
572107.77,1465530.5,1092.42102
572099.13,1465530.5,1092.42102
572090.49,1465530.5,1092.42102
572081.85,1465530.5,1092.42102
572073.21,1465530.5,1092.42102
572064.57,1465530.5,1092.42102
572055.93,1465530.5,1092.42102
572047.29,1465530.5,1092.42102
572038.65,1465530.5,1054.46997
572030.01,1465530.5,1054.46997
572021.37,1465530.5,1054.46997
572012.73,1465530.5,1054.46997
572004.09,1465530.5,1054.46997
571995.45,1465530.5,1054.46997
571986.81,1465530.5,1054.46997
571978.17,1465530.5,1054.46997
571969.53,1465530.5,1054.46997
571960.89,1465530.5,1054.46997
571952.25,1465530.5,1015.48798
571943.61,1465530.5,1015.48798
571934.97,1465530.5,1015.48798
571926.33,1465530.5,1015.48798
571917.7,1465530.5,1015.48798
571909.06,1465530.5,1015.48798
571900.42,1465530.5,1015.48798
571891.78,1465530.5,1015.48798
571883.14,1465530.5,1015.48798
571874.5,1465530.5,1015.48798
571865.86,1465530.5,1015.48798
571857.22,1465530.5,970.17902
571848.58,1465530.5,970.17902
571839.94,1465530.5,970.17902
571831.3,1465530.5,970.17902
571822.66,1465530.5,970.17902
571814.02,1465530.5,970.17902
571805.38,1465530.5,970.17902
571796.74,1465530.5,970.17902
571788.1,1465530.5,970.17902
571779.46,1465530.5,970.17902
571770.82,1465530.5,927.87903
571762.18,1465530.5,927.87903
571753.54,1465530.5,927.87903
571744.9,1465530.5,927.87903
571736.26,1465530.5,927.87903
571727.62,1465530.5,927.87903
571718.98,1465530.5,927.87903
571710.34,1465530.5,927.87903
571701.7,1465530.5,927.87903
571693.06,1465530.5,927.87903
571684.43,1465530.5,899.62402
571675.79,1465530.5,899.62402
571667.15,1465530.5,899.62402
571658.51,1465530.5,899.62402
571649.87,1465530.5,899.62402
571641.23,1465530.5,899.62402
571632.59,1465530.5,899.62402
571623.95,1465530.5,899.62402
571615.31,1465530.5,899.62402
571606.67,1465530.5,899.62402
571598.03,1465530.5,899.62402
571589.39,1465530.5,878.91302
571580.75,1465530.5,878.91302
571572.11,1465530.5,878.91302
571563.47,1465530.5,878.91302
571554.83,1465530.5,878.91302
571546.19,1465530.5,878.91302
571537.55,1465530.5,878.91302
571528.91,1465530.5,878.91302
571520.27,1465530.5,878.91302
571511.63,1465530.5,878.91302
571502.99,1465530.5,855.23602
571494.35,1465530.5,855.23602
571485.71,1465530.5,855.23602
571477.07,1465530.5,855.23602
571468.43,1465530.5,855.23602
571459.79,1465530.5,855.23602
571451.15,1465530.5,855.23602
571442.52,1465530.5,855.23602
571433.88,1465530.5,855.23602
571425.24,1465530.5,855.23602
571416.6,1465530.5,855.23602
571407.96,1465530.5,831.41602
571399.32,1465530.5,831.41602
571390.68,1465530.5,831.41602
571382.04,1465530.5,831.41602
571373.4,1465530.5,831.41602
571364.76,1465530.5,831.41602
571356.12,1465530.5,831.41602
571347.48,1465530.5,831.41602
571338.84,1465530.5,831.41602
571330.2,1465530.5,831.41602
571321.56,1465530.5,807.62701
571312.92,1465530.5,807.62701
571304.28,1465530.5,807.62701
571295.64,1465530.5,807.62701
571287,1465530.5,807.62701
571278.36,1465530.5,807.62701
571269.72,1465530.5,807.62701
571261.08,1465530.5,807.62701
571252.44,1465530.5,807.62701
571243.8,1465530.5,807.62701
571235.16,1465530.5,807.62701
571226.52,1465530.5,781.08197
571217.88,1465530.5,781.08197
571209.24,1465530.5,781.08197
